Type        DAMAGE  HP      MVMSPD  RANGE   ATKSPD  BOX      SPRITE_DIM  FILE
Melee       50      200     80       0.1     100       70       128 128     assets/friendly_melee_sprite_sheet.png
Range       25      150     80       5     100      70      128 128     assets/friendly_ranged_sprite_sheet.png
Tank        50      400     15      0.1     100       100      128 128     assets/tank.png
Background  0       0       0       1       1       0        128 128     assets/background.jpeg
Base        0       2000    0       1       1     0        128 128     assets/base.png
GameFont    0       0       0       1       1       0        128 128     assets/coolFont.ttf
Tree        0       0       0       1       1       0        128 128     assets/tree.png
GameMusic   0       0       0       1       1       0        128 128     assets/Age-of-War-Theme-Song.ogg
Projectile  0       1       10      1       1       20       75 30       assets/arrow.png   
Turret      50      1       0       4       1       100      128 128     assets/turrets.png
